ID,header_ID,header_code,code,description,createdAt,createdBy,modifiedAt,modifiedBy
43296a1d-a320-42ac-b6b3-97938fe6c09a,43296a1d-a320-42ac-b6b3-97938fe6c09f,CA,CA,"Cash Advance",2026-06-15T14:04:36.653Z,test,2026-06-15T14:04:36.653Z,test
43296a1d-a320-42bc-b6b3-97938fe6c09b,43296a1d-a320-42ac-b6b3-97938fe6c09a,RE,RR,"Regular Reimbursement",2026-06-15T14:04:36.653Z,test,2026-06-15T14:04:36.653Z,test
43296a1d-a320-42ac-b6b3-97938fe6c09c,43296a1d-a320-42ac-b6b3-97938fe6c09a,RE,TA,"Transport Allowance",2026-06-15T14:04:36.653Z,test,2026-06-15T14:04:36.653Z,test
43296a1d-a320-42fc-b6b3-97938fe6c09d,43296a1d-a320-42ac-b6b3-97938fe6c09b,RP,PC,"Petty Cash",2026-06-15T14:04:36.653Z,test,2026-06-15T14:04:36.653Z,test
43296a1d-a320-42ac-b6b3-97938fe6c09e,43296a1d-a320-42ac-b6b3-97938fe6c09b,RP,WR,"Weekly Expense Report",2026-06-15T14:04:36.653Z,test,2026-06-15T14:04:36.653Z,test
43296a1d-a320-42ac-b6b3-97938fe6c09f,43296a1d-a320-42ac-b6b3-97938fe6c09c,LQ,CC,"Credit Card",2026-06-15T14:04:36.653Z,test,2026-06-15T14:04:36.653Z,test
43296a1d-a320-42ac-b6b3-97938fe6c0bf,43296a1d-a320-42ac-b6b3-97938fe6c09c,LQ,CA,"Cash Advance",2026-06-15T14:04:36.653Z,test,2026-06-15T14:04:36.653Z,test
